trajectory,position_rmse,position_mae,max_position_error,velocity_rmse,bias_x_actual_minus_desired,bias_y_actual_minus_desired,bias_z_actual_minus_desired,bias_norm
helix,0.023930894392697112,0.022465615124432226,0.044712348252388984,0.01516819006531432,-0.004404054871015669,0.0004465286574932628,-0.004412284741799037,0.006250067502962841
lissajous,0.022612104356467187,0.021220632499368577,0.04838879271323097,0.028235140996897876,-0.006403326015985139,0.0019023015280859752,-0.00811657980084424,0.01051190766865002
spiral,0.015985535381790643,0.014335182228315401,0.029840868613826715,0.009683791262104426,-0.0073496931471117456,-0.0017647604497543748,-0.003013510505358411,0.008137174839440537
